,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,11.791598272323608,0.1545546467197895,0.01660008430480957,0.0028716912304775255,0.1,4,7,7,1800,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 1800, 'subsample': 0.5}",-0.11831759447416408,-0.1330860471012005,-0.13031656082952492,-0.1298281590913191,-0.11807826904745483,-0.1259253261087327,0.006406947134815323,21,-0.0019549967287758063,-0.0021050383737654297,-0.0013660444981655588,-0.0015865672282142015,-0.0020178498846277607,-0.0018060993427097514,0.000282211227051683
1,21.793759441375734,0.2922286570522101,0.02560763359069824,0.00049567729246441,0.1,4,7,7,3500,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 3500, 'subsample': 0.5}",-0.11837572979692969,-0.13327345254581674,-0.13032291153686923,-0.1299052920287163,-0.11833423759643313,-0.126042324700953,0.006383203496320817,22,-0.0002761350265609897,-0.0004252110055982612,-0.00010965827178261593,-0.00018414939463183935,-0.0001866818098839521,-0.00023636710169153168,0.00010816094731521139
2,28.53692421913147,0.461711102206225,0.034398651123046874,0.0032630743428337435,0.1,4,7,7,4500,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 4500, 'subsample': 0.5}",-0.1183683483086989,-0.13328516059674292,-0.13032311027696938,-0.12992103676409303,-0.1183345414424615,-0.12604643947779315,0.006389490683954923,23,-0.00010393509967942258,-0.00020563124963762712,-3.160958118519805e-05,-6.46823918227024e-05,-5.658924109425947e-05,-9.248951268384193e-05,6.11563334948463e-05
3,37.046900796890256,0.2854982773314904,0.04099893569946289,0.008944034144244993,0.1,4,7,7,5500,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 5500, 'subsample': 0.5}",-0.11837035081008593,-0.13328384683711686,-0.13032387837135456,-0.1299302510398405,-0.11833669582477925,-0.12604900457663543,0.006389413002044373,24,-4.013461804324832e-05,-9.100332327461451e-05,-9.775698948298304e-06,-2.2836479641945068e-05,-1.5931189579135495e-05,-3.593626189744834e-05,2.9346855744568377e-05
4,12.451478910446166,0.8668557859882589,0.015199804306030273,0.0011666050876916658,0.1,4,4,7,1800,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 1800, 'subsample': 0.5}",-0.12093909958213936,-0.12090064298104955,-0.12622003694415598,-0.12306135589761413,-0.1227624993622666,-0.12277672695344513,0.001940833077809136,13,-0.001164677981572003,-0.001252311895346406,-0.0006428339398859552,-0.0009947356738903392,-0.0006848471359109502,-0.0009478813253211308,0.00024662318798800126
5,24.637249803543092,0.5534966314744819,0.0254000186920166,0.001356979734786493,0.1,4,4,7,3500,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 3500, 'subsample': 0.5}",-0.12099617117568072,-0.12093873841900703,-0.1262500966342389,-0.12307604186349023,-0.1227792406952928,-0.12280805775754193,0.0019337820615446882,14,-8.952499795447662e-05,-0.00018961716886215375,-2.0643598735546753e-05,-8.316365122123505e-05,-2.5110095158185607e-05,-8.161190238631955e-05,6.10569420500756e-05
6,29.32340536117554,0.400303020938293,0.03059978485107422,0.0014959113869516764,0.1,4,4,7,4500,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 4500, 'subsample': 0.5}",-0.12099600115931006,-0.1209514049239501,-0.1262494026017233,-0.12308199639149205,-0.1227785718248644,-0.12281147538026797,0.0019312905835696885,15,-2.060703616167377e-05,-6.967836863940881e-05,-3.2177291940713743e-06,-2.2104331545619057e-05,-4.512668294267805e-06,-2.4024026767008165e-05,2.4138248132320516e-05
7,34.47492074966431,0.36187423527536416,0.03820033073425293,0.0029926469950075146,0.1,4,4,7,5500,0.5,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 5500, 'subsample': 0.5}",-0.12099697599553909,-0.12095488942806681,-0.1262492925474171,-0.12308283236578543,-0.12277835090096861,-0.1228124682475554,0.001930421363621328,16,-4.811301130035914e-06,-2.2944371052531632e-05,-5.780762108724861e-07,-5.315718740874088e-06,-9.033502315006684e-07,-6.910563473162957e-06,8.248883845169295e-06
8,11.117507696151733,0.16133508919529269,0.015200471878051758,0.0014696979605937851,0.05,4,7,7,1800,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 1800, 'subsample': 0.5}",-0.11462698746038087,-0.12492394801857515,-0.1274599444010762,-0.12519750548209943,-0.12465445599393898,-0.12337256827121412,0.004484913341942061,17,-0.009583953762796426,-0.009311902362362618,-0.008556118740199962,-0.008853387866899527,-0.011177519458584816,-0.00949657643816867,0.0009127388420462366
9,21.196400451660157,0.09479896826497258,0.025,0.00109419132485168,0.05,4,7,7,3500,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 3500, 'subsample': 0.5}",-0.11461120381555151,-0.12497780189238072,-0.12770504534769248,-0.1253806509756234,-0.12483047492053474,-0.12350103539035658,0.004564734574190692,18,-0.002098904576268896,-0.002114977741063903,-0.0015634787051730498,-0.001665701814954124,-0.002009198758375265,-0.0018904523191670478,0.00023038630983012254
10,28.842734479904173,0.5261477069374826,0.04420042037963867,0.008376146208398716,0.05,4,7,7,4500,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 4500, 'subsample': 0.5}",-0.11455208026541465,-0.1250558965004967,-0.12775200401076328,-0.12546658730016563,-0.12489500697994235,-0.12354431501135651,0.004612359712478849,19,-0.0011318516448966596,-0.0012037117236259269,-0.0006786047809531607,-0.0008237014476946389,-0.0009742845825876957,-0.0009624308359516163,0.00019332018064958974
11,38.57904372215271,1.038529141160388,0.040200328826904295,0.00256025249866326,0.05,4,7,7,5500,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 5500, 'subsample': 0.5}",-0.1145397675192873,-0.12508566492777226,-0.1277813678077512,-0.12548932614220085,-0.12491949291383714,-0.12356312386216976,0.004627800021596348,20,-0.0006677048480648004,-0.0007264987025704477,-0.00033225832245182234,-0.00045225908424051983,-0.0005213104679135722,-0.0005400062850482325,0.000143034726958636
12,13.001929759979248,1.1009590712142385,0.020200538635253906,0.007110936156769491,0.05,4,4,7,1800,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 1800, 'subsample': 0.5}",-0.11099335517439869,-0.12211250741979755,-0.129240219599311,-0.11642955964926699,-0.12029506335610492,-0.11981414103977583,0.006060138377520799,9,-0.006226603345369836,-0.005627546636092162,-0.00495201263190574,-0.0054351914623189624,-0.005913908852355162,-0.005631052585608373,0.00043224009650032707
13,26.269782066345215,0.26996408494275964,0.02999911308288574,0.0022800602071897254,0.05,4,4,7,3500,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 3500, 'subsample': 0.5}",-0.11108216538356472,-0.12253720042894906,-0.12947870187618532,-0.11687412670025371,-0.1203253643824957,-0.12005951175428971,0.006093770378728102,10,-0.0011302897855224596,-0.0011546199558093914,-0.0006161633421167696,-0.0011115718267086711,-0.0008629299735745422,-0.0009751149767463667,0.00020801609631404533
14,32.48052215576172,0.2638026568213457,0.035903215408325195,0.004783215280882886,0.05,4,4,7,4500,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 4500, 'subsample': 0.5}",-0.11107671039195591,-0.12258663413787012,-0.12948583162925428,-0.11692381584731637,-0.12032740181163218,-0.12008007876360575,0.006096471325879628,11,-0.000519454366825438,-0.000567511082289037,-0.00023503277366867032,-0.0005533905842335765,-0.00035818790228000743,-0.0004467153418593458,0.00012954443348044668
15,39.91370368003845,0.5502344999664299,0.041657638549804685,0.004447744763159485,0.05,4,4,7,5500,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 5500, 'subsample': 0.5}",-0.11108231372329926,-0.12260655753282772,-0.12948681853084454,-0.11693664840225547,-0.120335183045115,-0.1200895042468684,0.0060954968980858676,12,-0.0002407548981529223,-0.0003039380836801189,-9.499823635757514e-05,-0.00028111399123476673,-0.00015282780649118955,-0.0002147266031833145,7.900606120854594e-05
16,12.99354944229126,0.33288040940533553,0.017600631713867186,0.004453535452460977,0.01,4,7,7,1800,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 1800, 'subsample': 0.5}",-0.11045508839756253,-0.12105209543991244,-0.12470582859659715,-0.11688405654253615,-0.11839551113773604,-0.11829851602286885,0.004736355447190432,5,-0.06485645377793949,-0.06398939300736306,-0.06365792570949873,-0.06492101187652785,-0.06655345160502034,-0.0647956471952699,0.001005360242046962
